id,Lat,Long
4696,-13.14216252,130.8169516
4697,-13.14216252,131.0669516
4698,-13.14216252,131.3169516
4699,-13.14216252,131.5669516
4700,-13.14216252,131.8169516
4701,-13.14216252,132.0669516
4702,-13.14216252,132.3169516
4703,-13.14216252,132.5669516
4704,-13.14216252,132.8169516
4705,-13.14216252,133.0669516
4706,-13.14216252,133.3169516
4707,-13.14216252,133.5669516
4708,-13.14216252,133.8169516
4709,-13.14216252,134.0669516
4710,-13.14216252,134.3169516
4711,-13.14216252,134.5669516
4712,-13.14216252,134.8169516
4713,-13.14216252,135.0669516
4714,-13.14216252,135.3169516
4715,-13.14216252,135.5669516
4716,-13.14216252,135.8169516
4717,-13.14216252,136.0669516
4740,-13.14216252,141.8169516
4741,-13.14216252,142.0669516
4742,-13.14216252,142.3169516
4743,-13.14216252,142.5669516
4744,-13.14216252,142.8169516
4745,-13.14216252,143.0669516
4746,-13.14216252,143.3169516
4979,-13.39216252,130.3169516
4980,-13.39216252,130.5669516
4981,-13.39216252,130.8169516
4982,-13.39216252,131.0669516
4983,-13.39216252,131.3169516
4984,-13.39216252,131.5669516
4985,-13.39216252,131.8169516
4986,-13.39216252,132.0669516
4987,-13.39216252,132.3169516
4988,-13.39216252,132.5669516
4989,-13.39216252,132.8169516
4990,-13.39216252,133.0669516
4991,-13.39216252,133.3169516
4992,-13.39216252,133.5669516
4993,-13.39216252,133.8169516
4994,-13.39216252,134.0669516
4995,-13.39216252,134.3169516
4996,-13.39216252,134.5669516
4997,-13.39216252,134.8169516
4998,-13.39216252,135.0669516
4999,-13.39216252,135.3169516
5000,-13.39216252,135.5669516
5001,-13.39216252,135.8169516
5025,-13.39216252,141.8169516
5026,-13.39216252,142.0669516
5027,-13.39216252,142.3169516
5028,-13.39216252,142.5669516
5029,-13.39216252,142.8169516
5030,-13.39216252,143.0669516
5031,-13.39216252,143.3169516
5263,-13.64216252,130.0669516
5264,-13.64216252,130.3169516
5265,-13.64216252,130.5669516
5266,-13.64216252,130.8169516
5267,-13.64216252,131.0669516
5268,-13.64216252,131.3169516
5269,-13.64216252,131.5669516
5270,-13.64216252,131.8169516
5271,-13.64216252,132.0669516
5272,-13.64216252,132.3169516
5273,-13.64216252,132.5669516
5274,-13.64216252,132.8169516
5275,-13.64216252,133.0669516
5276,-13.64216252,133.3169516
5277,-13.64216252,133.5669516
5278,-13.64216252,133.8169516
5279,-13.64216252,134.0669516
5280,-13.64216252,134.3169516
